#Timestamp	Open	High	Low	Close	Volume (BTC)
2015-05-09	243.22	247.01	238.62	241.96	5499.61
2015-05-10	241.83	244.99	238.02	239.13	3520.24
2015-05-11	239.13	244.51	237.99	241.3	9690.64
2015-05-12	241.3	242	237.54	241.03	8418.72
2015-05-13	241.03	244.14	235.06	235.97	9332.47
2015-05-14	235.97	239.7	232.22	237.13	7530.5 
2015-05-15	237.12	239.28	235.12	237.37	4536.93
2015-05-16	237.39	237.4	234	235.66	3116.79
2015-05-17	235.43	237	234.15	235.97	2645.16
2015-05-18	235.69	236.94	231.44	232.87	7443.22
2015-05-19	233.03	234.24	230.86	231.4	5568.28
2015-05-20	231.4	234.86	231	234.43	7823.36
2015-05-21	234.4	236.52	233.75	235	4609.28
2015-05-22	235	240.9	232.92	238.99	10451.8
2015-05-23	238.8	240.67	237.4	237.76	3216.28
2015-05-24	237.87	241.64	237.66	239.22	2921.55
2015-05-25	239.69	240.1	233.1	235.59	5625.09
2015-05-26	235.72	237.96	234	235.71	8590.08
2015-05-27	235.71	237.35	234	235.17	8572.87
2015-05-28	235.32	236.8	234.87	236.46	5005.98
2015-05-29	236.46	236.52	234	236.03	6165.89
2015-05-30	236.03	236.03	231	232.11	4245.94
2015-05-31	232.11	232.51	228	228.91	4372.21
2015-06-01	228.91	231.2	220.65	223.51	12184.96
2015-06-02	223.5	226.38	221.34	225.18	7744.88
2015-06-03	225.17	226.99	222.57	224.27	5815.57
2015-06-04	224.8	225.98	222	222.99	4822.41
2015-06-05	222.99	225.9	219.03	224.4	8396.71
2015-06-06	224.4	225.26	223.07	224.99	2772.33
2015-06-07	224.95	225.48	221.86	222.7	3324.38
2015-06-08	222.65	229.4	222.31	228.17	8986.87
2015-06-09	228.05	230.79	226.67	228.7	9129.71
2015-06-10	228.7	229.75	226.83	227.8	6284.74
2015-06-11	227.88	229.57	227.25	229.03	4727.31
2015-06-12	229.14	230.7	228.29	229.4	5887.15
2015-06-13	229.3	232.04	228.06	231.64	4009.8 
2015-06-14	231.64	234	230.94	232.09	3586.28
2015-06-15	232.08	237.09	231.55	235.92	10505.58
2015-06-16	236	252.05	234.35	250.09	17954.59
2015-06-17	250.02	257.39	243.2	247.76	16951.14
2015-06-18	247.76	251.58	240	248.4	11145.13
2015-06-19	248.45	249.93	242.14	243.7	6783.07
2015-06-20	243.75	245.56	239.93	244.76	4434.69
2015-06-21	244.65	245	241.06	243.64	1946.29
2015-06-22	243.6	247.99	242.64	246	5149.76
2015-06-23	245.99	247.25	242.14	243.74	4953.9
2015-06-24	243.85	243.99	238.2	240.19	6723.31
2015-06-25	240.19	242.9	239.18	241.98	5002.93
2015-06-26	242.08	243.44	240	242.98	5271.85
2015-06-27	242.98	252	242.36	251.21	7101.1
2015-06-28	251.28	251.28	247.04	248.62	6104.31
2015-06-29	248.63	256.94	248.3	256.04	15393.1
2015-06-30	256.04	268	255	262.5	19902.44
2015-07-01	262.58	265.25	253.81	257.62	13395.15
2015-07-02	257.62	260.77	253.19	254.54	9826.99
2015-07-03	254.49	256.44	252.4	255.92	9153.85
2015-07-04	256.06	261.28	254.05	260.2	7909.86
2015-07-05	260.16	274.74	258.75	271.5	21362.61
2015-07-06	271.39	278.54	267.13	268.51	20027.86
2015-07-07	268.53	271.69	265.66	266.66	3596.75
